Test name,Total connections,Duration,Conn Rate,Reply Size
4KB,1000,0.220,4545.3,483.0
4KB,1000,0.224,4455.7,483.0
4KB,1000,0.218,4595.7,483.0
4KB,1000,0.234,4267.2,483.0
4KB,1000,0.221,4529.4,483.0
4KB,1000,0.227,4399.3,483.0
4KB,1000,0.215,4659.9,483.0
4KB,1000,0.222,4508.7,483.0
4KB,1000,0.214,4667.6,483.0
4KB,1000,0.218,4585.2,483.0
4KB,1000,0.216,4630.8,483.0
4KB,1000,0.217,4610.8,483.0
4KB,1000,0.219,4569.3,483.0
4KB,1000,0.210,4770.5,483.0
4KB,1000,0.225,4441.3,483.0
4KB,1000,0.216,4634.2,483.0
4KB,1000,0.232,4308.9,483.0
4KB,1000,0.222,4494.6,483.0
4KB,1000,0.226,4416.4,483.0
4KB,1000,0.228,4388.6,483.0
4KB,1000,0.225,4443.8,483.0
4KB,1000,0.209,4785.9,483.0
4KB,1000,0.225,4441.0,483.0
4KB,1000,0.206,4849.0,483.0
4KB,1000,0.223,4491.1,483.0
4KB,1000,0.226,4416.2,483.0
4KB,1000,0.217,4599.3,483.0
4KB,1000,0.221,4517.6,483.0
4KB,1000,0.222,4512.5,483.0
4KB,1000,0.208,4808.6,483.0
4KB,1000,0.225,4439.8,483.0
4KB,1000,0.209,4773.4,483.0
4KB,1000,0.214,4670.4,483.0
4KB,1000,0.201,4983.7,483.0
4KB,1000,0.210,4765.9,483.0
4KB,1000,0.206,4857.3,483.0
4KB,1000,0.204,4900.5,483.0
4KB,1000,0.206,4846.9,483.0
4KB,1000,0.210,4768.6,483.0
4KB,1000,0.201,4972.8,483.0
4KB,1000,0.204,4907.3,483.0
4KB,1000,0.208,4810.3,483.0
4KB,1000,0.206,4845.9,483.0
4KB,1000,0.198,5043.8,483.0
4KB,1000,0.210,4771.1,483.0
4KB,1000,0.209,4790.4,483.0
4KB,1000,0.225,4445.1,483.0
4KB,1000,0.212,4724.8,483.0
4KB,1000,0.198,5060.9,483.0
4KB,1000,0.226,4421.1,483.0
