Test name,Total connections,Duration,Conn Rate,Reply Size
4KB,1000,0.109,9210.6,483.0
4KB,1000,0.108,9238.7,483.0
4KB,1000,0.102,9820.8,483.0
4KB,1000,0.101,9898.6,483.0
4KB,1000,0.100,9961.8,483.0
4KB,1000,0.113,8879.1,483.0
4KB,1000,0.115,8718.9,483.0
4KB,1000,0.108,9219.8,483.0
4KB,1000,0.106,9427.2,483.0
4KB,1000,0.110,9125.3,483.0
4KB,1000,0.103,9662.8,483.0
4KB,1000,0.104,9650.0,483.0
4KB,1000,0.107,9302.8,483.0
4KB,1000,0.105,9484.9,483.0
4KB,1000,0.103,9690.8,483.0
4KB,1000,0.099,10119.6,483.0
4KB,1000,0.109,9212.8,483.0
4KB,1000,0.104,9656.0,483.0
4KB,1000,0.106,9404.5,483.0
4KB,1000,0.102,9833.3,483.0
4KB,1000,0.105,9540.3,483.0
4KB,1000,0.157,6363.1,483.0
4KB,1000,0.107,9384.8,483.0
4KB,1000,0.101,9863.7,483.0
4KB,1000,0.106,9466.9,483.0
4KB,1000,0.104,9650.8,483.0
4KB,1000,0.101,9923.0,483.0
4KB,1000,0.102,9782.5,483.0
4KB,1000,0.098,10207.3,483.0
4KB,1000,0.111,8975.2,483.0
4KB,1000,0.102,9840.4,483.0
4KB,1000,0.104,9636.1,483.0
4KB,1000,0.102,9790.9,483.0
4KB,1000,0.110,9112.0,483.0
4KB,1000,0.121,8296.0,483.0
4KB,1000,0.107,9380.6,483.0
4KB,1000,0.105,9564.2,483.0
4KB,1000,0.105,9519.5,483.0
4KB,1000,0.105,9537.1,483.0
4KB,1000,0.111,9032.9,483.0
4KB,1000,0.106,9445.6,483.0
4KB,1000,0.104,9595.3,483.0
4KB,1000,0.109,9162.6,483.0
4KB,1000,0.106,9419.2,483.0
4KB,1000,0.110,9113.5,483.0
4KB,1000,0.100,9978.1,483.0
4KB,1000,0.104,9656.4,483.0
4KB,1000,0.104,9578.3,483.0
4KB,1000,0.108,9234.8,483.0
4KB,1000,0.106,9419.5,483.0
4KB,1000,0.104,9583.4,483.0
4KB,1000,0.104,9569.9,483.0
4KB,1000,0.104,9623.3,483.0
4KB,1000,0.104,9588.6,483.0
4KB,1000,0.105,9508.7,483.0
4KB,1000,0.112,8961.5,483.0
4KB,1000,0.102,9784.1,483.0
4KB,1000,0.104,9635.7,483.0
4KB,1000,0.108,9243.3,483.0
4KB,1000,0.109,9212.9,483.0
4KB,1000,0.118,8444.4,483.0
4KB,1000,0.109,9159.8,483.0
4KB,1000,0.104,9631.8,483.0
4KB,1000,0.110,9129.4,483.0
4KB,1000,0.105,9505.3,483.0
4KB,1000,0.110,9071.8,483.0
4KB,1000,0.103,9720.9,483.0
4KB,1000,0.105,9495.9,483.0
4KB,1000,0.104,9655.5,483.0
4KB,1000,0.105,9502.1,483.0
4KB,1000,0.099,10055.4,483.0
4KB,1000,0.084,11869.0,483.0
4KB,1000,0.094,10586.2,483.0
4KB,1000,0.084,11863.4,483.0
4KB,1000,0.084,11962.1,483.0
4KB,1000,0.084,11875.5,483.0
4KB,1000,0.086,11664.6,483.0
4KB,1000,0.085,11732.8,483.0
4KB,1000,0.085,11803.3,483.0
4KB,1000,0.084,11866.9,483.0
4KB,1000,0.084,11869.7,483.0
4KB,1000,0.088,11351.1,483.0
4KB,1000,0.086,11576.6,483.0
4KB,1000,0.083,12034.4,483.0
4KB,1000,0.083,11999.5,483.0
4KB,1000,0.088,11411.1,483.0
4KB,1000,0.111,9049.0,483.0
4KB,1000,0.104,9633.0,483.0
4KB,1000,0.106,9456.8,483.0
4KB,1000,0.102,9797.9,483.0
4KB,1000,0.102,9777.4,483.0
4KB,1000,0.109,9187.8,483.0
4KB,1000,0.108,9284.0,483.0
4KB,1000,0.106,9454.7,483.0
4KB,1000,0.106,9464.9,483.0
4KB,1000,0.109,9203.4,483.0
4KB,1000,0.102,9808.1,483.0
4KB,1000,0.109,9159.3,483.0
4KB,1000,0.107,9344.7,483.0
4KB,1000,0.104,9603.8,483.0
4KB,1000,0.108,9230.5,483.0
4KB,1000,0.111,9008.1,483.0
4KB,1000,0.114,8783.5,483.0
4KB,1000,0.109,9165.1,483.0
4KB,1000,0.105,9527.7,483.0
4KB,1000,0.108,9246.2,483.0
4KB,1000,0.110,9109.9,483.0
4KB,1000,0.107,9331.9,483.0
4KB,1000,0.108,9251.2,483.0
4KB,1000,0.108,9295.1,483.0
4KB,1000,0.110,9066.3,483.0
4KB,1000,0.106,9427.1,483.0
4KB,1000,0.106,9470.9,483.0
4KB,1000,0.105,9528.4,483.0
4KB,1000,0.105,9488.2,483.0
4KB,1000,0.115,8706.6,483.0
4KB,1000,0.107,9319.7,483.0
4KB,1000,0.098,10246.8,483.0
4KB,1000,0.096,10395.4,483.0
4KB,1000,0.097,10312.6,483.0
4KB,1000,0.094,10663.6,483.0
4KB,1000,0.098,10212.4,483.0
4KB,1000,0.092,10900.7,483.0
4KB,1000,0.095,10546.0,483.0
4KB,1000,0.092,10924.2,483.0
4KB,1000,0.092,10850.2,483.0
4KB,1000,0.093,10707.1,483.0
4KB,1000,0.099,10089.1,483.0
4KB,1000,0.103,9719.6,483.0
4KB,1000,0.097,10361.7,483.0
4KB,1000,0.095,10557.7,483.0
4KB,1000,0.103,9750.1,483.0
4KB,1000,0.094,10648.4,483.0
4KB,1000,0.094,10687.8,483.0
4KB,1000,0.094,10606.0,483.0
4KB,1000,0.095,10495.0,483.0
4KB,1000,0.091,10940.2,483.0
4KB,1000,0.093,10801.2,483.0
4KB,1000,0.117,8519.1,483.0
4KB,1000,0.094,10623.6,483.0
4KB,1000,0.092,10878.1,483.0
4KB,1000,0.096,10416.1,483.0
4KB,1000,0.096,10425.7,483.0
4KB,1000,0.093,10760.3,483.0
4KB,1000,0.092,10918.8,483.0
4KB,1000,0.091,11008.7,483.0
4KB,1000,0.091,10945.6,483.0
4KB,1000,0.092,10870.5,483.0
4KB,1000,0.090,11105.6,483.0
4KB,1000,0.091,10981.0,483.0
4KB,1000,0.092,10873.3,483.0
4KB,1000,0.096,10394.0,483.0
4KB,1000,0.097,10299.9,483.0
4KB,1000,0.096,10445.6,483.0
4KB,1000,0.087,11463.1,483.0
4KB,1000,0.083,12093.2,483.0
4KB,1000,0.081,12347.7,483.0
4KB,1000,0.082,12162.5,483.0
4KB,1000,0.082,12192.5,483.0
4KB,1000,0.086,11638.3,483.0
