Test name,Total connections,Duration,Conn Rate,Reply Size
Large,1000,0.304,3294.7,483.0
Large,1000,0.312,3205.5,483.0
Large,1000,0.311,3213.4,483.0
Large,1000,0.293,3408.1,483.0
Large,1000,0.313,3194.9,483.0
Large,1000,0.309,3233.6,483.0
Large,1000,0.333,3007.1,483.0
Large,1000,0.272,3683.1,483.0
Large,1000,0.257,3886.3,483.0
Large,1000,0.263,3799.9,483.0
Large,1000,0.265,3777.8,483.0
Large,1000,0.261,3836.7,483.0
Large,1000,0.263,3798.8,483.0
Large,1000,0.258,3880.8,483.0
Large,1000,0.266,3753.1,483.0
Large,1000,0.271,3690.3,483.0
Large,1000,0.263,3797.2,483.0
Large,1000,0.265,3776.0,483.0
Large,1000,0.271,3691.7,483.0
Large,1000,0.257,3887.2,483.0
Large,1000,0.267,3742.8,483.0
Large,1000,0.262,3815.5,483.0
Large,1000,0.260,3840.7,483.0
Large,1000,0.274,3655.7,483.0
Large,1000,0.265,3776.9,483.0
Large,1000,0.276,3626.2,483.0
Large,1000,0.267,3738.5,483.0
Large,1000,0.265,3771.2,483.0
Large,1000,0.254,3938.3,483.0
Large,1000,0.262,3820.1,483.0
Large,1000,0.274,3643.5,483.0
Large,1000,0.274,3652.0,483.0
Large,1000,0.278,3599.0,483.0
Large,1000,0.279,3587.2,483.0
Large,1000,0.269,3712.6,483.0
Large,1000,0.259,3866.8,483.0
Large,1000,0.277,3610.0,483.0
Large,1000,0.261,3826.5,483.0
Large,1000,0.264,3793.7,483.0
Large,1000,0.262,3820.8,483.0
Large,1000,0.268,3737.6,483.0
Large,1000,0.266,3759.9,483.0
Large,1000,0.261,3829.2,483.0
Large,1000,0.264,3787.1,483.0
Large,1000,0.265,3775.5,483.0
Large,1000,0.280,3577.1,483.0
Large,1000,0.263,3804.1,483.0
Large,1000,0.260,3852.8,483.0
Large,1000,0.254,3939.3,483.0
Large,1000,0.256,3901.5,483.0
Large,1000,0.258,3874.3,483.0
Large,1000,0.273,3663.9,483.0
Large,1000,0.267,3744.7,483.0
Large,1000,0.268,3734.4,483.0
Large,1000,0.262,3811.6,483.0
Large,1000,0.260,3849.7,483.0
Large,1000,0.264,3784.9,483.0
Large,1000,0.259,3856.5,483.0
Large,1000,0.275,3636.1,483.0
Large,1000,0.257,3895.0,483.0
Large,1000,0.257,3884.8,483.0
Large,1000,0.262,3819.8,483.0
Large,1000,0.284,3524.4,483.0
Large,1000,0.267,3739.7,483.0
Large,1000,0.281,3557.6,483.0
Large,1000,0.290,3446.8,483.0
Large,1000,0.282,3548.4,483.0
Large,1000,0.274,3647.9,483.0
Large,1000,0.292,3420.0,483.0
Large,1000,0.283,3537.0,483.0
Large,1000,0.272,3672.9,483.0
Large,1000,0.264,3781.6,483.0
Large,1000,0.260,3846.4,483.0
Large,1000,0.302,3309.4,483.0
Large,1000,0.293,3418.6,483.0
Large,1000,0.287,3484.7,483.0
Large,1000,0.312,3205.0,483.0
Large,1000,0.299,3348.1,483.0
Large,1000,0.295,3388.1,483.0
Large,1000,0.302,3306.9,483.0
Large,1000,0.295,3392.3,483.0
Large,1000,0.309,3237.6,483.0
Large,1000,0.287,3483.3,483.0
Large,1000,0.296,3373.2,483.0
Large,1000,0.304,3289.2,483.0
Large,1000,0.288,3472.2,483.0
Large,1000,0.285,3513.9,483.0
Large,1000,0.301,3326.8,483.0
Large,1000,0.288,3475.1,483.0
Large,1000,0.294,3395.7,483.0
Large,1000,0.290,3442.7,483.0
Large,1000,0.313,3193.0,483.0
Large,1000,0.331,3024.0,483.0
Large,1000,0.356,2808.7,483.0
Large,1000,0.347,2885.0,483.0
Large,1000,0.352,2841.7,483.0
Large,1000,0.347,2885.5,483.0
Large,1000,0.342,2926.8,483.0
Large,1000,0.368,2720.0,483.0
Large,1000,0.352,2840.2,483.0
Large,1000,0.382,2620.2,483.0
Large,1000,0.385,2600.0,483.0
Large,1000,0.387,2582.5,483.0
Large,1000,0.357,2803.9,483.0
Large,1000,0.368,2716.2,483.0
Large,1000,0.346,2889.1,483.0
Large,1000,0.378,2646.3,483.0
Large,1000,0.382,2620.7,483.0
Large,1000,0.371,2695.2,483.0
Large,1000,0.362,2763.0,483.0
Large,1000,0.358,2793.2,483.0
Large,1000,0.346,2887.1,483.0
Large,1000,0.348,2872.4,483.0
Large,1000,0.353,2833.9,483.0
Large,1000,0.348,2870.0,483.0
Large,1000,0.343,2912.2,483.0
Large,1000,0.359,2786.8,483.0
Large,1000,0.359,2781.7,483.0
Large,1000,0.375,2668.2,483.0
